nombre_institucion,tipo_de_institucion,cuit,municipio_comuna_dom_real,departamento,telefono_principal_cod_area_sin_cero_y_telefono_sin_el_15,telefono_secundario_cod_area_sin_cero_y_telefono_sin_el_15,e_mail,calle_dom_real,nro_dom_real,denominacion_sede_anexo,direccion_anexo,pagina_web,red_social_intagram,red_social_facebook,disciplinas,deporte_adaptado,infraestructura_adaptada_para_accesibilidad,latitud,longitud,tipo_de_espacios_deportivos
CLUB ATLETICO URQUIZA,CLUB DEPORTIVO,3.0670953714E10,GUALEGUAY,GUALEGUAY,3.444425383E9,3.444503197E9,clubatleticourquiza@gmail.com,GRAL. PANCHO RAMIREZ,273.0,,,,@clubatleticourquizaoficial,https://www.facebook.com/clubatleticourquiza.cau/?locale=es_LA,"Fútbol, Hockey césped",SI,"PUERTAS ACCESIBLES, ANCHO DE PASILLOS, SANITARIOS ACCESIBLES",-33.1524096142426,-59.3173641269823,"Cancha de Fútbol, Cancha de Hockey, Cancha hockey cesped"
LA OLLA SOFTBOL CLUB,CLUB DEPORTIVO,3.0714366242E10,GUALEGUAY,GUALEGUAY,3.44442402E9,3.44458081E9,deportesgualeguay@gmail.com,COLÓN,271.0,,,,@laollasoftbol,https://www.facebook.com/LaOllaSoftbol,Softbol,NO,NINGUNA,-33.1514396994314,-59.294628119991,Otros
CLUB ATLETICO GUALEGUAY CENTRAL,CLUB DEPORTIVO,3.0543111291E10,GUALEGUAY,GUALEGUAY,3.444467421E9,3.444634209E9,gualeguaycentral@hotmail.com,BELGRANO,834.0,,,,@gualeguaycentral,https://www.facebook.com/ClubGualeguayCentral/?locale=es_LA,"Fútbol, Rugby, Patinaje artístico, Tenis, Natación, Gimnasia Artística",SI,NINGUNA,-33.14976,-59.32647,"Cancha de Fútbol, Pileta Techada, Cancha Techada, Cancha de Rugby, Otros, cancha de tenis, cancha de padel, Cajon de arena"
CLUB CENTRO BANCARIO GUALEGUAY ASOCIACION CIVIL,CLUB DEPORTIVO,3.0670944391E10,GUALEGUAY,GUALEGUAY,3.444424263E9,3.444627275E9,germanlobbe@gmail.com,BELGRANO,438.0,,,,@centrobancariogualeguay,https://www.facebook.com/ClubBancarioGualeguay/?locale=es_LA,"Bochas, Fútbol, Hockey césped, Básquet, Artes Marciales/deportes de contacto",SI,"ACCESO ADECUADO, PUERTAS ACCESIBLES, ANCHO DE PASILLOS, RAMPAS, CAMINOS Y VEREDAS",-33.14962,-59.32038,"SUM, Cancha Techada, cancha de basquet, Cancha de Fútbol"
CLUB ATLÉTICO JUVENTUD Y FERROCARRIL UNIDOS,CLUB DEPORTIVO,3.0710235488E10,ENRIQUE CARBÓ,GUALEGUAYCHÚ,1.166881515E9,3.444440117E9,artu_romero@hotmail.com,SAN MARTIN,69.0,,,,@cjfucarbo,Club Unidos Carbo,Fútbol,SIN DATOS,SIN DATOS,-33.1492,-59.21485,Cancha de Fútbol
CLUB RECREATIVO Y DEPORTIVO FERROVIARIO,CLUB DEPORTIVO,3.0709692972E10,GUALEGUAY,GUALEGUAY,3.444463001E9,3.444441344E9,rugualeguay@arnetbiz.com.ar,BELGRANO,238.0,,,,,,OTROS,SIN DATOS,SIN DATOS,-33.14894,-59.31687,SUM
SOCIEDAD SPORTIVA,CLUB DEPORTIVO,3.0670939622E10,GUALEGUAY,GUALEGUAY,3.444423182E9,3.444573498E9,sociedadsportiva1916@hotmail.com,BELGRANO Y VILLAGUAY,641.0,,,,@sociedadsportivaoficial,https://www.facebook.com/sociedadsportivaoficial/?locale=es_LA,"Tenis, Hockey sobre patines, Bochas, Natación, Fútbol, Patinaje artístico, Voley",SIN DATOS,SIN DATOS,-33.1483,-59.32429,"Cancha de Fútbol, Cancha Techada, cancha de tenis, Pileta Descubierta, cancha de bochas"
CLUB ATLETICO SAN LORENZO,CLUB DEPORTIVO,3.0710759479E10,GUALEGUAY,GUALEGUAY,3.444424838E9,3.444624305E9,casl_gualeguay@hotmail.com,CARMEN GADEA,15.0,,,,@clubatleticosanlorenzo.guay,https://www.facebook.com/p/Club-Atl%C3%A9tico-San-Lorenzo-Gualeguay-100063778253158/,"Hockey césped, Fútbol, Ciclismo, Artes Marciales/deportes de contacto",SIN DATOS,SIN DATOS,-33.1465,-59.30875,"Cancha de Fútbol, Cancha Techada, Cancha de Hockey, Otros, SUM, Cancha hockey cesped"
TIRO FEDERAL ARGENTINO BRIGADIER GENERAL JUSTO JOSE DE URQUIZA,CLUB DEPORTIVO,3.0714704911E10,GUALEGUAY,GUALEGUAY,3.444444192E9,3.444583221E9,seba_benedetti@hotmail.com,CONTINUACION PELLEGRINI,S/N,,,tirofederalgualeguay.com.ar/,,Tiro Federal Gualeguay,"Tiro con Arco, tiro deportivo",SIN DATOS,SIN DATOS,-33.14618,-59.3008,Otros
CEF Nº2 DR. LUIS R. MAC KAY GUALEGUAY,POLIDEPORTIVO PROVINCIAL,SIN CUIT 077,GUALEGUAY,GUALEGUAY,,,,,,,,,,,"Atletismo, Gimnasia Artística, Natación, Softbol",SI,SIN DATOS,-33.1460646825242,-59.3057049109168,"Pileta Techada, pista de atletismo, cancha de tenis, Otros, Cajon de arena"
CLUB ATLETICO LIBERTAD,CLUB DEPORTIVO,3.0670955555E10,GUALEGUAY,GUALEGUAY,3.444453626E9,3.444413613E9,santosavino@hotmail.com.ar,INT. QUIRÓS,71.0,,,,@club-atletico-libertad-gualeguay,https://www.facebook.com/C.A.LibertadOficial/?locale=es_LA,"Voley, Fútbol",NO,"PUERTAS ACCESIBLES, CAMINOS Y VEREDAS",-33.14567,-59.30785,Cancha Techada
CLUB ATLÉTICO SOCIAL Y DEPORTIVO TRABAJADORES DE LA CARNE ASOCIACION CIVIL,CLUB DEPORTIVO,3.3715951709E10,GUALEGUAY,GUALEGUAY,3.444428756E9,3.444625922E9,sindicatocarneguay@hotmail.com,ALARCON MUÑIZ,218.0,,,,,https://www.facebook.com/sindicatodelacarneguay/,Fútbol,SIN DATOS,SIN DATOS,-33.14403,-59.31641,Cancha de Fútbol
CLUB DE PELOTA GUALEGUAY,CLUB DEPORTIVO,3.0710893361E10,GUALEGUAY,GUALEGUAY,3.444424212E9,3.444628691E9,hfabianmoreno@hotmail.com,ALARCÓN MUÑÍZ,249.0,,,,@clubpelotagualeguay,https://www.facebook.com/clubpelotagualeguay/?locale=es_LA,Pelota paleta,SIN DATOS,SIN DATOS,-33.14359,-59.31617,"cancha de pelota, SUM"
CLUB ATLETICO B.H.,CLUB DEPORTIVO,3.0670970562E10,GUALEGUAY,GUALEGUAY,3.44445322E9,3.444622742E9,eduardoluisuriarte@gmail.com,CENTENARIO,41.0,,,www.clubbhgualeguay.jimdofree.com/,@cabhgualeguay,https://www.facebook.com/bhbasquet/?locale=eu_ES,Básquet,SIN DATOS,SIN DATOS,-33.14186,-59.31478,"Gimnasio, cancha de basquet, SUM"
CLUB ATLÉTICO EL PROGRESO,CLUB DEPORTIVO,3.3712464939E10,GUALEGUAY,GUALEGUAY,3.444574758E9,3.444424802E9,clubelprogreso@gmail.com,ALFREDO PALACIOS,560.0,,,,@clubatleticoelprogreso,https://www.facebook.com/CAEP.Gualeguay/?locale=es_LA,"Ciclismo, Fútbol, Artes Marciales/deportes de contacto, Fitness",SIN DATOS,SIN DATOS,-33.13907,-59.31661,"Otros, SUM"
JOCKEY CLUB GUALEGUAY,CLUB DEPORTIVO,3.0527008669E10,GUALEGUAY,GUALEGUAY,3.444426577E9,3.4444241E9,jockeyclubgualeguay@hotmail.com,SAN ANTONIO,198.0,,,,,https://www.facebook.com/JOCKEYCLUBGUAY/?locale=es_LA,Hipismo,SIN DATOS,SIN DATOS,-33.13341,-59.29877,Otros
CLUB ATLETICO BARRIO NORTE,CLUB DEPORTIVO,3.0707821422E10,GUALEGUAY,GUALEGUAY,3.444427951E9,3.444425726E9,clubabarrionorte@hotmail.com,AVENIDA SOBERANIA Y CONTINUACION SAN MARTIN,970.0,,,,@barrionortegualeguay,https://www.facebook.com/p/Club-Atletico-Barrio-Norte-Gualeguay-100063591160216/?locale=es_LA,"Ciclismo, Bochas, Fútbol, Tenis, Gimnasia Artística",SIN DATOS,SIN DATOS,-33.131501517453,-59.3137567502549,"Cancha de Fútbol, cancha de bochas, cancha de tenis, Otros, Cancha Techada"
AERO CLUB GUALEGUAY,CLUB DEPORTIVO,3.0513787789E10,GUALEGUAY,GUALEGUAY,3.444446991E9,3.444446991E9,aeroclubgualeguay@gmail.com,RUTA PROVINCIAL Nº 11 - KM 210 - PRIMER DISTRITO,KM 210,,,,@aeroclubgualeguay,aero club gualeguay,Aviación,SIN DATOS,SIN DATOS,-33.10222,-59.37388,"Otros, Pileta Descubierta"
CLUB SPORTIVO LARROQUE,CLUB DEPORTIVO,3.0707346996E10,LARROQUE,GUALEGUAYCHÚ,3.446352194E9,3.446460562E9,deportes@larroque.gob.ar,SAN MARTIN,221.0,,,,@sportivolarroque,Sportivo Larroque,Fútbol,SIN DATOS,SIN DATOS,-33.03629,-59.01416,Cancha de Fútbol
ASOCIACIÓN FUTSAL GUALEGUAYCHÚ - FÚTBOL DE SALÓN,CLUB DEPORTIVO,3.0709258997E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446616256E9,3.44664699E9,gera-sanchez@hotmail.com,AGUIRRE,1892.0,,,www.futsalgualeguaychu.com/,@gualeguaychufutsal,Asociacion Futsal Gualeguaychu,Futsal,SIN DATOS,SIN DATOS,-33.03585,-58.53904,Cancha Techada
CLUB CENTRAL LARROQUE,CLUB DEPORTIVO,3.0671060373E10,LARROQUE,GUALEGUAYCHÚ,3.446580255E9,3.446648097E9,mlonardi@tierragreda.com.ar,43976.0,215.0,,,,@centrallarroque,Central Larroque,"Bochas, Fútbol",SIN DATOS,SIN DATOS,-33.03175,-58.99744,"Cancha de Fútbol, SUM, cancha de bochas"
CLUB ATLETICO DEFENSORES DEL SUR,CLUB DEPORTIVO,3.0671118975E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446578345E9,3.446578345E9,club.atletico.defensores.del.sur@gmail.com,,,,,,@defensoresdelsur,Club Defensores del Sur,"Fútbol, OTROS",SIN DATOS,SIN DATOS,-33.03022,-58.53935,"Otros, SUM"
CLUB SOCIAL Y DEPORTIVO ATLETICO SUR GUALEGUAYCHU,CLUB DEPORTIVO,3.0715431722E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,,,,BLVAR MARTINEZ,,,,,https://www.instagram.com/club_atleticosuroficial/,https://www.facebook.com/p/Club-Atl%C3%A9tico-Sur-100083688681948/?_rdr,Fútbol,SIN DATOS,SIN DATOS,-33.027166520454,-58.5486160446666,Cancha de Fútbol
UNIVERSIDAD NACIONAL DE ENTRE RIOS (UNER),PREDIO UNIVERSITARIO,3.0562252157E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,,,,,,,,www.estudia.uner.edu.ar/deportes/,"uneroficial
https://www.instagram.com/bienestar.uner/",https://www.facebook.com/UNERoficial/?locale=es_LA,,,SIN DATOS,-33.0254492952614,-58.5127822374325,
CLUB PESCADORES GUALEGUAYCHU,CLUB DEPORTIVO,3.0582358563E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446426564E9,3.446632843E9,cocopev@hotmail.com.ar,ALMIRANTE BROWN AL SUR,S/N,,,www.clubpescadoresgchu.com.ar/web/#,@clubpescadores.gchu,Club Pescadores Gualeguaychu,"Voley, Náuticos, Natación, Pesca",SIN DATOS,SIN DATOS,-33.02376,-58.50875,"Pileta Descubierta, Otros, SUM"
CLUB ATLÉTICO UNIÓN DEL SUBURBIO,CLUB DEPORTIVO,3.0708261609E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446527072E9,3.446603513E9,meyi11@hotmail.com,AYACUCHO Y ETCHEVEHERE,S/N,,,,@uniondelsuburbio,Unión del Suburbio,Fútbol,SIN DATOS,SIN DATOS,-33.0229,-58.52115,"Cancha de Fútbol, Otros, SUM"
CLUB SOCIAL Y DEPORTIVO PUEBLO NUEVO,CLUB DEPORTIVO,3.0671053628E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446546253E9,,club.social.deportivo.pueblo.nuevo@gmail.com,EVA PERON,890.0,,,,@csydpueblonuevo,Club Pueblo Nuevo,Fútbol,SI,"DÁRSENA DE LLEGADA, PUERTAS ACCESIBLES, NINGUNA",-33.0215072448541,-58.5110009186487,"Cancha de Fútbol, Cancha Techada"
SKATEPARK GUALEGUAYCHU,POLIDEPORTIVO MUNICIPAL,SIN CUIT 035,GUALEGUAYCHÚ,GUALEGUAYCHÚ,,,,,,,,www.gualeguaychu.tur.ar/detalle/254-skate-park,,https://www.facebook.com/EscuelitaDeSkatePuravidaGualeguaychu/?locale=es_LA,Deportes Urbanos,SIN DATOS,SIN DATOS,-33.02069,-58.50891,skatepark
JOCKEY CLUB GUALEGUAYCHU,CLUB DEPORTIVO,3.052692086E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446440242E9,3.446440856E9,gerardoross02@gmail.com,CONSTITUCIÓN,849.0,Hipódromo Gualeguaychu,,,@jockeyclubgchuoficial,Jockey Club Gualeguaychú Oficial,Hipismo,SIN DATOS,SIN DATOS,-33.02068,-58.52702,"Otros, SUM"
CENTRO SOCIAL CULTURAL Y DEPORTIVO SIRIO LIBANES,CLUB DEPORTIVO,3.0671053172E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.44642677E9,3.446424013E9,josejelkozah@gmail.com,HIPOLITO IRIGOYEN,61.0,,,www.futsalgualeguaychu.com/equipo/centro-cultural-sirio-libanes/,,,Futsal,SIN DATOS,SIN DATOS,-33.0198879515851,-58.5202590797683,Otros
CLUB DEPORTIVO Y SOCIAL SARMIENTO,CLUB DEPORTIVO,3.0709154105E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446440131E9,3.446533682E9,latromba@hotmail.com,TOMAS EDISON,520.0,,,,@clubsarmiento,Club Sarmiento,"Fútbol, Hockey césped, Voley, Artes Marciales/deportes de contacto, Hockey sobre patines",SIN DATOS,SIN DATOS,-33.01756,-58.53117,"Cancha de Fútbol, Cancha Techada, SUM"
CLUB ATLÉTICO CERRO PORTEÑO,CLUB DEPORTIVO,3.0711685703E10,PUEBLO GENERAL BELGRANO,GUALEGUAYCHÚ,3.44660496E9,3.44660496E9,clauben.-@hotmail.com,GUALEGUAYCHÚ,55.0,,,,@cerropb,Cerro Porteño Belgrano,"Fútbol, Hockey césped, Voley",SI,PUERTAS ACCESIBLES,-33.01642,-58.47282,"Cancha de Fútbol, Cancha Techada, SUM"
CLUB REGATAS GUALEGUAYCHÚ,CLUB DEPORTIVO,3.0711410194E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446539992E9,3.446623953E9,bettendorffjulieta@gmail.com,CAMINO DE LA COSTA - PARQUE UNZUÉ CHICO,S/N,,,,@clubregatasgchu,Club Regatas Gchu,Náuticos,SIN DATOS,SIN DATOS,-33.01453,-58.49836,"SUM, Otros"
CLUB ATLÉTICO GERVASIO MÉNDEZ,CLUB DEPORTIVO,3.0709806749E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446529531E9,3.446371099E9,clubatleticogervasiomendez@gmail.com,PASTEUR,319.0,,,,,Club Atletico Gervasio Mendez,"Patinaje artístico, Bochas, Artes Marciales/deportes de contacto",SIN DATOS,SIN DATOS,-33.01412,-58.53166,"Cancha Techada, Otros, SUM"
ASOCIACION CIVIL CLUB SOCIAL Y DEPORTIVO GURISES,CLUB DEPORTIVO,3.0715709631E10,PUEBLO GENERAL BELGRANO,GUALEGUAYCHÚ,3.446505667E9,3.446402121E9,info@deportivogurises.com,AV 20 DE JUNIO,S/N,,,,@deportivogurises,Deportivo Gurises,Fútbol,SIN DATOS,"ACCESO ADECUADO, ANCHO DE PASILLOS",-33.0139639819999,-58.4906833829563,Cancha de Fútbol
CLUB SOCIAL Y DEPORTIVO DOCK SUD,CLUB DEPORTIVO,3.0707065245E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.44630856E9,3.446638251E9,leandroabog@hotmail.com.ar,3 DE CABALLERÍA,357.0,,,,,Club Dock Sud,"Voley, Bochas, Patinaje artístico",SIN DATOS,SIN DATOS,-33.01365,-58.50758,"Otros, Cancha Techada, cancha de bochas"
CLUB SOCIAL Y DEPORTIVO AGUILA,CLUB DEPORTIVO,3.0671121283E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446539184E9,3.446647825E9,melgaromina@hotmail.com,ALEM,341.0,,,,,Club Aguila,"padel, Pesca, Futsal, Fútbol",SIN DATOS,SIN DATOS,-33.0132783355985,-58.5056529182061,"Otros, SUM"
CLUB CENTRAL ENTRERRIANO,CLUB DEPORTIVO,3.0618804077E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,,,,ESPAÑA,283.0,,,www.cce.com.ar/,@cce.redes,Club Central Entrerriano,"Fútbol, Básquet , Hockey césped, Rugby, Handball, Hockey sobre patines",SIN DATOS,SIN DATOS,-33.0128323685794,-58.5172272162366,"Cancha Techada, Otros, Cancha de Fútbol, Cancha de Rugby, Cancha de Hockey, SUM, cancha de basquet"
AERO CLUB GUALEGUAYCHU,CLUB DEPORTIVO,3.0671063658E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446493028E9,3.44664755E9,aerogualeguaychu@gmail.com,URQUIZA Y RUTA 14,S/N,,,,@aeroclubgualeguaychu,Aero Club Gualeguaychu,Aviación,SIN DATOS,SIN DATOS,-33.01257,-58.6098,"Otros, SUM, Pileta Descubierta"
CLUB NAUTICO GUALEGUAYCHU,CLUB DEPORTIVO,3.0530611007E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,,3.446229568E9,,"PARQUE UNZUE, GUALEGUAYCHU",2820.0,,,,@clubnauticogualeguaychu,Club Nautico Gchu,Náuticos,SIN DATOS,SIN DATOS,-33.01239,-58.50214,"Otros, Pileta Descubierta, SUM"
CARPINCHOS RUGBY CLUB,CLUB DEPORTIVO,3.067107795E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446517861E9,3.446373407E9,crcpresidencia-carpinchosrugbyclub@hotmail.com.ar,PARQUE UNZUE CIUDAD DE GUALEGUAYCHU,S/N,,,,@ccarpinchos,Carpinchos Rugby Club,"Rugby, Hockey césped, Tiro con Arco",SIN DATOS,SIN DATOS,-33.01235,-58.49561,"Cancha de Rugby, Cancha de Hockey, Cancha hockey cesped"
SAW KAO MUAY THAI,PRIVADO,SIN CUIT 038,GUALEGUAYCHÚ,GUALEGUAYCHÚ,,,,,,,,www.institutodeballroom.com.ar/entrenador-saw-kao-muay-thai-gualeguaychu/,https://www.instagram.com/sawkaomuaythai?igshid=YmMyMTA2M2Y%3D,,Artes Marciales/deportes de contacto,SIN DATOS,SIN DATOS,-33.0121238575021,-58.5216833042454,"SUM, Gimnasio"
GUALEGUAYCHU COUNTRY CLUB,CLUB DEPORTIVO,3.0565696188E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446442701E9,,gchucountryclub@net-g.com.ar,URQUIZA AL OESTE ANTES DE C.,5713.0,,,www.ar.digitalgolftour.com/gualeguaychu/reservas,@gchucountryclub,Golf Gualeguaychu,"Golf, Fútbol, Hockey césped, Básquet, Pelota paleta",SIN DATOS,SIN DATOS,-33.01169,-58.58092,"Campo de Golf, Otros, Pileta Descubierta, SUM"
AUTÓDROMO DE GUALEGUAYCHÚ,POLIDEPORTIVO MUNICIPAL,SIN CUIT 056,GUALEGUAYCHÚ,GUALEGUAYCHÚ,,,,,,,,www.gualeguaychu.gov.ar/tag/Aut%C3%B3dromo/,,,Automovilismo / karting,SIN DATOS,SIN DATOS,-33.01158,-58.60832,Otros
ASOCIACIÓN CIVIL CLUB GIMNASIA GUALEGUAYCHU,CLUB DEPORTIVO,3.0716427605E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446603988E9,3.446613395E9,clubgimnasiagchu@gmail.com,MITRE,168.0,,,,@gimnasiagchu,Club Gimnasia,"Fútbol, Futsal, Voley",SIN DATOS,SIN DATOS,-33.0107477935591,-58.5100998398226,"Cancha Techada, SUM"
CLUB DEPORTIVO Y SOCIAL DEFENSORES DEL OESTE,CLUB DEPORTIVO,3.0609668691E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446422848E9,3.44643673E9,ferabossi@hotmail.com,SAN MARTIN,1301.0,,,,,Club Defensores del Oeste,"Fútbol, Hockey césped",SIN DATOS,SIN DATOS,-33.01073,-58.52416,"Cancha de Fútbol, Cancha Techada"
PA KUA CENTRO SHEN KUA,PRIVADO,SIN CUIT 028,GUALEGUAYCHÚ,GUALEGUAYCHÚ,,,,,,,,www.pakuagualeguaychu.com.ar/,https://www.instagram.com/pakua_centro_shen_kua/?hl=es-la,https://www.facebook.com/PAKUAShenKua/?locale=es_LA,"Artes Marciales/deportes de contacto, Tiro con Arco",SIN DATOS,SIN DATOS,-33.0105143414804,-58.5233946172786,"Otros, SUM"
VELÓDROMO DE GUALEGUAYCHÚ,POLIDEPORTIVO MUNICIPAL,SIN CUIT 057,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.4464204E9,,,,,Velódromo municipal. Circuito cerrado de ciclismo,Parque Unzué,www.gualeguaychu.gov.ar/,@munigchu,,Ciclismo,SIN DATOS,SIN DATOS,-33.01007,-58.49697,Otros
CLUB HIPICO GUALEGUAYCHU,CLUB DEPORTIVO,3.0671070301E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446614991E9,,,PARQUE UNZUE GRA,,,,,@clubhipicogualeguaychu,,Hipismo,SIN DATOS,SIN DATOS,-33.00942,-58.49414,"Otros, SUM"
CLUB NEPTUNIA,CLUB DEPORTIVO,3.053005588E10,GUALEGUAYCHÚ,GUALEGUAYCHÚ,3.446422366E9,1.167687271E9,informes@clubneptunia.com.ar,CHURRUARIN,15.0,"Natatorio
Sede Parque Unzué","Santa Fe 299
Parque Saturnino Unzué",www.clubneptunia.com.ar,@clubneptunia,clubneptunia,"Básquet, Natación, Tenis",SIN DATOS,SIN DATOS,-33.00905,-58.51604,"Pileta Techada, Otros, Pileta Descubierta, cancha de tenis, SUM, Cancha Techada"
